pageid,name,coords,region,subregion,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required,latitude,longitude,technical_class,water_rating,time_commitment,risk_rating
535,Monoxide,"38° 9' 15.48"" N, 110° 32' 0.24"" W",Southeast Utah,Poison Springs,2.7,3B II (<i>v3a2 II</i>),3B II,2,5,,1,56 ft,56,Spring;Fall,TRUE,FALSE,TRUE,FALSE,,,,Passenger,FALSE,38.1543,-110.5334,3,B,II,
958,Hog Spring Waterfall,"37° 57' 54.72"" N, 110° 30' 28.80"" W",Southeast Utah,Hog Springs,3.6,1A I (<i>v1a1 I</i>),1A I,1,2,,,0 ft,0,Any,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,37.9652,-110.508,1,A,I,
332,Woodsy Canyon,"37° 51' 39.60"" N, 110° 33' 22.68"" W",Southeast Utah,Trachyte Area,3.3,3A I (<i>v2a1 I</i>),3A I,2,3,3,2,25 ft,25,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,37.861,-110.5563,3,A,I,
516,Adobe Swale,"38° 9' 16.20"" N, 110° 31' 17.40"" W",Southeast Utah,Poison Springs,2.6,3B III (<i>v3a2 III</i>),3B III,4,6,,3,165 ft,165,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,38.1545,-110.5215,3,B,III,
1004,Lost Angel,"38° 19' 41.88"" N, 110° 32' 34.80"" W",Southeast Utah,Angel Point,2.7,3A II (<i>v3a1 II</i>),3A II,3,6,5.3,6,196.85 ft,196,Any; hot in summer,TRUE,TRUE,TRUE,TRUE,hot in summer,,,,FALSE,38.3283,-110.543,3,A,II,
520,Burr Slot,"38° 10' 21.36"" N, 110° 28' 4.80"" W",Southeast Utah,Burr Point,3,3A II R (<i>v5a1 II</i>),3A II R,4,5.5,6.5,2,197 ft,197,"Any; hot in Summer, cold in winter",TRUE,TRUE,TRUE,TRUE,hot in summer; cold in winter,1 minutes,1,4WD - High Clearance,TRUE,38.1726,-110.468,3,A,II,R
331,Wood Bee Canyon,"37° 51' 37.08"" N, 110° 33' 37.08"" W",Southeast Utah,Trachyte Area,3,3A I (<i>v2a1 I</i>),3A I,2,3,3.1,2,20 ft,20,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,37.8603,-110.5603,3,A,I,
961,Playin Around Slot,"38° 3' 18.72"" N, 110° 28' 54.84"" W",Southeast Utah,West Butler,3.4,,,,,,,,,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,38.0552,-110.4819,,,,
722,Swett Canyon,"37° 50' 31.20"" N, 110° 34' 40.80"" W",Southeast Utah,Trachyte Area,3.4,2B IV (<i>v1a2 IV</i>),2B IV,8,48,,,0 ft,0,Any;COLD in Winter,TRUE,TRUE,TRUE,TRUE,cold in winter,,,,FALSE,37.842,-110.578,2,B,IV,
1116,Lost Spring Canyon (Middle Fork),"38° 20' 14.28"" N, 110° 23' 15.36"" W",Southeast Utah,Ekker Ranch Road,2.7,3A II (<i>v3a1 II</i>),3A II,2,4,3,2,40 ft,40,Spring; Fall; Winter,TRUE,FALSE,TRUE,TRUE,,,,4WD - High Clearance,TRUE,38.3373,-110.3876,3,A,II,
1000,Fallen Angel,"38° 19' 24.60"" N, 110° 32' 32.28"" W",Southeast Utah,Angel Point,2.6,3A II (<i>v3a1 II</i>),3A II,3,5.5,2.9,6,100 ft,100,Any; hot in summer,TRUE,TRUE,TRUE,TRUE,hot in summer,,,,FALSE,38.3235,-110.5423,3,A,II,
991,Bloodhound Canyon,"38° 16' 7.32"" N, 110° 32' 20.76"" W",Southeast Utah,Beaver Canyon Area,2.6,3A II (<i>v3a1 II</i>),3A II,2,3,,3,50 ft,50,Any;HOT in Summer,TRUE,TRUE,TRUE,TRUE,hot in summer,,,,FALSE,38.2687,-110.5391,3,A,II,
522,Death Canyon,"38° 3' 42.48"" N, 110° 33' 48.96"" W",Southeast Utah,The Irish,2.4,3B I (<i>v3a2 I</i>),3B I,1,2,,2,50 ft,50,Any,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,38.0618,-110.5636,3,B,I,
63564,Casablanca Canyon (South Fork),"37° 58' 55.20"" N, 110° 28' 54.48"" W",Southeast Utah,Hog Springs,3,4A I (<i>v4a1 I</i>),4A I,,,2.6,4,120 ft,120,Year Round,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,37.982,-110.4818,4,A,I,
1131,Lost Spring Canyon (North Fork),"38° 20' 33.36"" N, 110° 22' 50.88"" W",Southeast Utah,Ekker Ranch Road,2.7,3A II (<i>v3a1 II</i>),3A II,,,2,6,35 ft,35,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,High Clearance,TRUE,38.3426,-110.3808,3,A,II,
541,Yellow Brick Road,"37° 56' 6.00"" N, 110° 29' 14.64"" W",Southeast Utah,Trachyte Area,2.7,3B IV (<i>v3a2 IV</i>),3B IV,6,8,,,,,Spring; Summer; Fall.,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,37.935,-110.4874,3,B,IV,
52067,Shillelagh (West Fork),"38° 1' 58.08"" N, 110° 33' 1.44"" W",Southeast Utah,The Irish,2.4,3A I (<i>v3a1 I</i>),3A I,2,3,2.5,3,80 ft,80,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,,FALSE,38.0328,-110.5504,3,A,I,
718,Clearwater Canyon,"38° 1' 11.28"" N, 110° 9' 28.44"" W",Southeast Utah,Cedar Mesa,2.8,3A IV R (<i>v5a1 IV</i>),3A IV R,10,14,14,6,200 ft,200,Spring; Fall,TRUE,FALSE,TRUE,FALSE,,0.5 minutes,0.5,High Clearance,TRUE,38.0198,-110.1579,3,A,IV,R
1013,Sawtooth Canyon,"38° 17' 17.16"" N, 110° 32' 4.92"" W",Southeast Utah,Beaver Canyon Area,2.3,3A I (<i>v3a1 I</i>),3A I,1,2,,2,82.021 ft,82,Any;HOT in Summer,TRUE,TRUE,TRUE,TRUE,hot in summer,,,,FALSE,38.2881,-110.5347,3,A,I,
495,Long Canyon,"37° 45' 14.04"" N, 110° 6' 22.68"" W",Southeast Utah,Cedar Mesa,2.8,3B IV (<i>v3a2 IV</i>),3B IV,10,12,,4,99 ft,99,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,37.7539,-110.1063,3,B,IV,
19753,Scar Tissue,"37° 58' 59.16"" N, 110° 22' 38.64"" W",Southeast Utah,Cedar Mesa,2.9,2B II (<i>v1a2 II</i>),2B II,2,3,,,0 ft,0,Any,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,37.9831,-110.3774,2,B,II,
595,Big Bad Ben,"38° 20' 53.16"" N, 110° 30' 59.04"" W",Southeast Utah,White Roost,2.7,3B III R (<i>v5a2 III</i>),3B III R,5,6,,,60 ft,60,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,38.3481,-110.5164,3,B,III,R
1017,Twin Corral Box Canyon,"38° 15' 12.96"" N, 110° 16' 17.40"" W",Southeast Utah,Hans Flat Road,2.7,2A <i>I</i> (<i>v1a1 I</i>),2A <i>I</i>,1,2,,0,0 ft,0,Spring;Fall;HOT in Summer,TRUE,TRUE,TRUE,FALSE,hot in summer,,,,FALSE,38.2536,-110.2715,2,A,I,
11032,Alcove Amble Canyon,"37° 56' 25.08"" N, 110° 21' 45.72"" W",Southeast Utah,Cedar Mesa,2.7,3A <i>II</i> (<i>v3a1 II</i>),3A <i>II</i>,2,6,,5,131.234 ft,131,All;Hot in Summer,FALSE,TRUE,FALSE,FALSE,hot in summer,,,,FALSE,37.9403,-110.3627,3,A,II,
