pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
1049,Cottonwood Narrows,"37° 23' 57.48"" N, 111° 51' 2.88"" W",Southwest Escalante,2.9,1A I (<i>v1a1 I</i>),1A I,1.0,2.0,2.5,0,0 ft,0,Spring to Autumn;BEST in Apr;May;Sep;Oct,True,False,True,False,,0 minutes,0.0,,False
56944,Right Atrium,"37° 20' 42.36"" N, 111° 0' 10.44"" W",Escalante,4.3,4B III R (<i>v5a2 III</i>),4B III R,7.0,8.0,,,120 ft,120,"Spring, Fall",True,False,True,False,,60 minutes,60.0,4WD - High Clearance,True
50234,Bad Neighbor,"37° 21' 52.56"" N, 110° 59' 33.72"" W",Escalante,5.0,4A IV XX (<i>v7a1 IV</i>),4A IV XX,7.0,9.0,,1,100 ft,100,,,,,,,0 minutes,0.0,,False
776,Tunnel Slot,"37° 39' 10.44"" N, 111° 24' 23.76"" W",Escalante,2.6,1A II (<i>v1a1 II</i>),1A II,,,,,0 ft,0,,,,,,,0 minutes,0.0,High Clearance,True
28094,Fortymile Gulch,"37° 20' 0.96"" N, 110° 59' 29.40"" W",Escalante,4.0,2B (<i>v1a2</i>),2B,,,,,0 ft,0,,,,,,,,,,False
32768,Pothole Fork of Sleepy Hollow,"37° 26' 47.76"" N, 111° 4' 44.40"" W",Escalante,4.0,3B III R (<i>v5a2 III</i>),3B III R,,,,,,,,,,,,,,,,False
756,The Gulch,"37° 51' 35.28"" N, 111° 18' 41.04"" W",Escalante,4.0,,,72.0,96.0,,,,,Spring;Fall,True,False,True,False,,,,,False
19726,Dry Hollow,"37° 53' 34.44"" N, 111° 27' 22.68"" W",Escalante,3.0,3A I PG (<i>v4a1 I</i>),3A I PG,1.0,2.0,,1,65 ft,65,Any time,True,True,True,True,,,,Passenger,False
761,Long Branch,"37° 26' 21.48"" N, 111° 4' 11.28"" W",Escalante,4.7,4B III XX (<i>v7a2 III</i>),4B III XX,,,,,,,,,,,,,,,,False
771,Ponderosa Fork,"37° 28' 3.36"" N, 111° 7' 38.64"" W",Escalante,4.0,4B III R (<i>v5a2 III</i>),4B III R,,,7.3,3,35 ft,35,,,,,,,,,,False
757,Llewellyn Gulch,"37° 14' 2.40"" N, 110° 57' 58.68"" W",Escalante,4.5,,,,,,,,,,,,,,,,,,False
1047,Booker Canyon,"37° 24' 43.56"" N, 111° 55' 18.84"" W",Southwest Escalante,3.0,,,,,,,,,Spring;Summer;Fall;Winter,True,True,True,True,,,,,False
764,Phipps Wash,"37° 45' 39.24"" N, 111° 24' 33.12"" W",Escalante,3.0,2A IV (<i>v1a1 IV</i>),2A IV,4.0,6.0,,,0 ft,0,Any;EXCEPT in Spring,True,True,True,True,,,,,False
84023,Rattle King,"37° 55' 33.96"" N, 111° 14' 32.28"" W",Escalante,3.0,3A I (<i>v3a1 I</i>),3A I,,,,4,55.774 ft,55,,,,,,,,,,False
751,Egypt 4 Canyon,"37° 34' 28.92"" N, 111° 13' 34.32"" W",The Egypts,4.0,3B III X (<i>v6a2 III</i>),3B III X,,,,,,,,,,,,,,,,False
752,Egypt 5 Canyon,"37° 35' 15.72"" N, 111° 13' 4.80"" W",The Egypts,4.0,3A III R (<i>v5a1 III</i>),3A III R,,,,,,,,,,,,,,,,False
39727,Mumbai,"37° 19' 54.12"" N, 110° 57' 33.12"" W",Escalante,4.0,3B IV X (<i>v6a2 IV</i>),3B IV X,11.0,,11.0,5,90 ft,90,,,,,,,0 minutes,0.0,High Clearance,True
53802,O.B.,"37° 47' 24.72"" N, 111° 30' 44.64"" W",Escalante,4.0,4B IV (<i>v4a2 IV</i>),4B IV,,,,,,,,,,,,,,,,False
772,Box Elder Canyon,"37° 27' 57.60"" N, 111° 8' 49.20"" W",Escalante,5.0,4A IV XX (<i>v7a1 IV</i>),4A IV XX,7.0,8.0,,0,,,Spring,True,False,False,False,,0 minutes,0.0,,False
45938,Brimstone Gulch (upper),"37° 31' 4.44"" N, 111° 10' 57.00"" W",Escalante,3.2,4B III (<i>v4a2 III</i>),4B III,,,,2,32.808 ft,32,,,,,,,0 minutes,0.0,Passenger,False
755,Fuzzy Caterpillar Gorge,"37° 51' 54.00"" N, 111° 18' 3.96"" W",Escalante,3.0,1 (<i>v1</i>),1,,,1.0,,0 ft,0,BEST in Mar;Apr;Sep;Oct,False,False,False,False,,,,,False
1054,Starlight Canyon,"37° 17' 13.20"" N, 112° 0' 55.80"" W",Southwest Escalante,3.0,,,,,,,,,,,,,,,,,,False
738,Baker Canyon (East Fork),"37° 36' 2.52"" N, 111° 7' 1.56"" W",Choprock Bench,3.7,3B IV (<i>v3a2 IV</i>),3B IV,,,,,,,,,,,,,,,,False
32779,Aardvark Canyon (North Fork),"37° 48' 34.20"" N, 111° 14' 39.84"" W",Escalante,3.5,3B III (<i>v3a2 III</i>),3B III,7.0,8.0,,6,140 ft,140,Spring or Fall,True,False,True,False,,0.5 minutes,0.5,4WD - High Clearance,True
84008,Tilted Teepees,"37° 54' 6.84"" N, 111° 15' 12.60"" W",Escalante,3.5,3A I (<i>v2a1 I</i>),3A I,,,,2,29.528 ft,29,,,,,,,,,,False
754,Fence Canyon,"37° 36' 16.56"" N, 111° 11' 43.08"" W",Choprock Bench,2.6,,,,,,,,,,,,,,,,,,False
59370,Bown Star Canyon (Left Fork),"37° 45' 23.40"" N, 111° 10' 14.16"" W",Escalante,3.3,3A III (<i>v3a1 III</i>),3A III,,,,,,,,,,,,,,,,False
43062,King Tut,"37° 34' 55.56"" N, 111° 13' 54.84"" W",The Egypts,3.3,3A II R (<i>v5a1 II</i>),3A II R,,,,1,,,,,,,,,,,,False
84248,Optimus Prime,"37° 54' 18.72"" N, 111° 15' 5.76"" W",Escalante,3.3,3B I (<i>v3a2 I</i>),3B I,,,,4,59.055 ft,59,,,,,,,,,,False
39863,Drill Hole,"37° 40' 14.52"" N, 111° 23' 0.24"" W",Escalante,2.3,3B III (<i>v3a2 III</i>),3B III,,,,4,32.808 ft,32,,,,,,,,,,False
53792,Calf Crack,"37° 52' 17.04"" N, 111° 27' 50.40"" W",Escalante,3.0,3A I (<i>v3a1 I</i>),3A I,,,,1,100 ft,100,spring and fall or dry winter days,True,False,True,True,,,,Passenger,False
19517,Hackberry Canyon,"37° 15' 57.96"" N, 111° 55' 54.84"" W",Southwest Escalante,3.0,2A (<i>v1a1</i>),2A,,,,,0 ft,0,,,,,,,,,,False
58671,Mantrap,"37° 47' 0.60"" N, 111° 25' 7.68"" W",Escalante,3.0,3B I (<i>v3a2 I</i>),3B I,,,2.0,2,65 ft,65,Any,True,True,True,True,,0 minutes,0.0,Passenger,False
777,Wolverine Canyon,"37° 46' 36.84"" N, 111° 14' 18.60"" W",Escalante,3.0,,,,,,,,,Spring;Summer;Fall;Winter,True,True,True,True,,,,,False
78372,Deer Creek Canyon (North West Fork),"37° 23' 25.44"" N, 112° 3' 48.96"" W",Southwest Escalante,4.0,3A (<i>v3a1</i>),3A,,,,1,,,,,,,,,,,,False
53884,Early Bird,"37° 32' 44.16"" N, 111° 10' 17.76"" W",Escalante,4.0,3B III R (<i>v5a2 III</i>),3B III R,,,7.0,,,,,,,,,,,,,False
53806,The Lame Lamanite,"37° 57' 50.76"" N, 111° 16' 51.24"" W",Escalante,2.0,3A III (<i>v3a1 III</i>),3A III,,,,,,,,,,,,,,,,False
53809,Bump-De-Rump,"37° 48' 13.68"" N, 111° 11' 48.84"" W",Escalante,2.7,2A I (<i>v1a1 I</i>),2A I,,,,,0 ft,0,,,,,,,,,,False
32777,Big Rattlesnake Canyon,"37° 53' 36.24"" N, 111° 17' 8.52"" W",Escalante,2.5,,,,,,,,,,,,,,,,,,False
84282,Whisper Canyon,"37° 8' 9.24"" N, 111° 57' 32.04"" W",Southwest Escalante,1.3,3A I (<i>v3a1 I</i>),3A I,,,1.0,3,40 ft,40,Spring to Autumn,True,False,True,False,,0 minutes,0.0,High Clearance,True
53801,O.C.,"37° 46' 55.56"" N, 111° 30' 44.64"" W",Escalante,2.3,3A III (<i>v3a1 III</i>),3A III,,,,,,,,,,,,,,,,False
78370,Averett Canyon,"37° 28' 59.52"" N, 112° 4' 45.48"" W",Southwest Escalante,2.0,3A I (<i>v3a1 I</i>),3A I,,,,2,,,,,,,,,,,,False
84831,Ironhide,"37° 53' 21.48"" N, 111° 15' 56.88"" W",Escalante,2.0,3A I (<i>v3a1 I</i>),3A I,,,,,,,,,,,,,,,,False
19765,Big Horn Canyon (Escalante),"37° 41' 44.16"" N, 111° 26' 30.48"" W",Escalante,3.0,2A II (<i>v1a1 II</i>),2A II,,,,,0 ft,0,,,,,,,,,,False
53799,Durffey's Doozy,"37° 48' 44.64"" N, 111° 22' 51.60"" W",Escalante,3.0,3B I (<i>v3a2 I</i>),3B I,,,,,,,,,,,,,,,,False
765,Halfway Hollow,"37° 38' 59.28"" N, 111° 25' 43.68"" W",Escalante,3.0,,,,,,,,,,,,,,,,,,False
48507,Herm Pollock Slot,"37° 25' 41.52"" N, 112° 2' 56.76"" W",Southwest Escalante,3.0,3A <i>III</i> (<i>v3a1 III</i>),3A <i>III</i>,5.0,7.0,8.0,3,37 ft,37,Fall;Winter;Spring,True,False,True,True,,,,,False
11028,Mossy Cave,"37° 39' 56.52"" N, 112° 6' 36.36"" W",Southwest Escalante,3.0,POI,POI,1.0,,,,,,Any,True,True,True,True,,,,,False
53790,Not Water Canyon,"37° 53' 32.28"" N, 111° 17' 55.32"" W",Escalante,3.0,3B III PG (<i>v4</i>a2 <i>III</i>),3B III PG,,,,6,140 ft,140,spring and fall,True,False,True,False,,0 minutes,0.0,Passenger,False
53793,Avain Effluence,"37° 50' 42.00"" N, 111° 18' 23.40"" W",Escalante,1.7,3B I (<i>v2a2 I</i>),3B I,,,,,10 ft,10,,,,,,,,,,False
46524,Egypt 0,"37° 34' 20.28"" N, 111° 16' 6.60"" W",The Egypts,1.0,3A II (<i>v3a1 II</i>),3A II,,,,3,80 ft,80,,,,,,,,,High Clearance,True
59372,Bown Eye Canyon,"37° 45' 4.32"" N, 111° 10' 25.32"" W",Escalante,2.0,3A III (<i>v3a1 III</i>),3A III,,,,,,,,,,,,,,,,False
1051,Lick Wash,"37° 21' 18.36"" N, 112° 10' 40.44"" W",Southwest Escalante,2.0,1A (<i>v1a1</i>),1A,,,,,0 ft,0,Spring;Summer;Fall;Winter,True,True,True,True,,,,,False
53804,Low and Inside,"37° 54' 51.48"" N, 111° 35' 39.48"" W",Escalante,2.0,3A III (<i>v3a1 III</i>),3A III,,,,,,,,,,,,,,,,False
84830,Megatron,"37° 53' 14.28"" N, 111° 16' 0.84"" W",Escalante,2.0,3A I (<i>v3a1 I</i>),3A I,,,,,,,,,,,,,,,,False
84832,Rodimus Prime,"37° 53' 35.52"" N, 111° 15' 50.40"" W",Escalante,2.0,3A I (<i>v3a1 I</i>),3A I,,,,,,,,,,,,,,,,False
19323,Short Slot Canyon,"37° 28' 42.24"" N, 111° 11' 37.68"" W",Escalante,2.0,2A II X (<i>v1a1 II</i>),2A II X,2.0,5.0,,0,0 ft,0,,,,,,,0 minutes,0.0,Passenger,False
19732,The Snakelet,"37° 51' 53.28"" N, 111° 18' 35.28"" W",Escalante,2.0,3A I (<i>v3a1 I</i>),3A I,1.0,2.0,,3,80 ft,80,,,,,,,,,Passenger,False
