pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
53795,Cheerio Chump,"37° 52' 37.92"" N, 111° 2' 52.08"" W",Waterpocket Fold,3.4,3A II (<i>v3a1 II</i>),3A II,,,,4,130 ft,130,,,,,,,,,,False
724,Muley Twist Canyon,"37° 52' 5.88"" N, 111° 2' 27.24"" W",Waterpocket Fold,4.0,1A <i>III</i> (<i>v1a1 III</i>),1A <i>III</i>,4.0,12.0,16.5,,0 ft,0,Spring;Fall;Winter,True,False,True,True,,,,Passenger,False
725,Sheets Gulch,"38° 6' 16.20"" N, 111° 4' 59.88"" W",Notam,4.0,2A III (<i>v1a1 III</i>),2A III,4.0,7.0,11.0,0,0 ft,0,Any;COLD in Winter,True,True,True,True,cold in winter,0 minutes,0.0,,False
59104,...must be on dope,"37° 37' 22.80"" N, 110° 53' 47.04"" W",Waterpocket Fold,5.0,,,,,,,,,,,,,,,,,,False
85506,Wife 4,"38° 16' 45.12"" N, 111° 14' 31.56"" W",Cohab Canyon,2.0,3A I (<i>v3a1 I</i>),3A I,,,,1,75 ft,75,Any,True,True,True,True,,0 minutes,0.0,Passenger,False
69007,Beaver Bay Canyon,"38° 16' 56.28"" N, 111° 11' 1.32"" W",Fruita District,2.5,3B I (<i>v3</i>a1 <i>I</i>),3B I,,,,2,85 ft,85,Jan-Dec,True,True,True,True,,0 minutes,0.0,,False
25168,Surprise Canyon (Capitol Reef National Park),"37° 50' 0.60"" N, 110° 59' 51.36"" W",Waterpocket Fold,2.5,1A I (<i>v1a1 I</i>),1A I,1.0,2.0,2.5,,0 ft,0,Any; hot in summer,True,True,True,True,hot in summer,0 minutes,0.0,Passenger,False
53794,Saddle Sore,"37° 54' 9.72"" N, 111° 3' 40.68"" W",Waterpocket Fold,3.5,3A II (<i>v3a1 II</i>),3A II,,,,,,,,,,,,,,,,False
40110,Sand Creek Falls,"38° 21' 20.52"" N, 111° 28' 1.56"" W",Bicknell,3.5,2A II (<i>v1a1 II</i>),2A II,2.0,3.0,3.0,,0 ft,0,Any;Winter,True,True,True,True,,,,,False
74561,Stem School,"38° 16' 35.76"" N, 111° 10' 35.40"" W",Fruita District,3.0,3B II (<i>v3a2 II</i>),3B II,2.0,5.0,1.4,4,150 ft,150,,,,,,,0 minutes,0.0,Passenger,False
