pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
91316,East Labyrinth (Dinosaur),"40° 34' 47.64"" N, 109° 4' 2.28"" W",Dinosaur National Monument,2,3A III (v4<i>a1 III</i>),3A III,,,6.7,9,140 ft,140,"april, may, august, september, october",FALSE,FALSE,FALSE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
78941,Elder Spring (East Fork),"40° 26' 25.08"" N, 109° 10' 38.28"" W",Dinosaur National Monument,2,3A III (v4a1 IV),3A III,,,4.15,3,125 ft,125,"May-Jun, Sep-Oct",FALSE,FALSE,FALSE,FALSE,,0.5 minutes,0.5,Passenger,FALSE
91346,Middle Labyrinth (Dinosaur),"40° 34' 53.40"" N, 109° 4' 7.68"" W",Dinosaur National Monument,2,3A III (<i>v3a1 III</i>),3A III,,,7,6,150 ft,150,"april, may, august, september, october",FALSE,FALSE,FALSE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
79374,Pool Creek (Dinosaur),"40° 28' 18.48"" N, 109° 3' 0.36"" W",Dinosaur National Monument,2,3B I (v3a2 III),3B I,,,1.3,2,55 ft,55,"May-June, Sep-Oct",FALSE,FALSE,FALSE,FALSE,,0 minutes,0,4WD,TRUE
79411,Snake Drop (Dinosaur),"40° 17' 35.88"" N, 108° 52' 56.64"" W",Dinosaur National Monument,2,3B III (v4a2 III),3B III,,,7.2,4,155 ft,155,"May-Jun, Sept-Oct",FALSE,FALSE,FALSE,FALSE,,0.5 minutes,0.5,4WD - High Clearance,TRUE
91333,West Labyrinth (Dinosaur),"40° 34' 53.40"" N, 109° 4' 35.40"" W",Dinosaur National Monument,2,3A III (<i>v3a1 III</i>),3A III,,,6.7,5,150 ft,150,"april, may, august, september, october",FALSE,FALSE,FALSE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
98455,Boardwalk (Dinosaur),"40° 18' 37.44"" N, 108° 41' 18.60"" W",Dinosaur National Monument,1,3A I (v3a1 <i>I</i>),3A I,,,,1,75 ft,75,"Spring and Fall, Hot in Summer",TRUE,TRUE,TRUE,FALSE,hot in summer,0.5 minutes,0.5,Passenger,FALSE
95453,Box of Crumbs (Dinosaur),"40° 18' 53.64"" N, 108° 47' 21.48"" W",Dinosaur National Monument,1,3A III (v3a1 IV),3A III,,,10.95,3,95 ft,95,"Best in Spring and Fall, Hot in Summer, Cold in Winter",TRUE,TRUE,TRUE,TRUE,hot in summer; cold in winter,0 minutes,0,Passenger,FALSE
79449,Chicken Slot,"40° 37' 25.68"" N, 109° 19' 9.12"" W",Dinosaur National Monument,1,3A II (v4a1 II),3A II,,,3.1,2,170 ft,170,"May-Jun, Sep-Oct",FALSE,FALSE,FALSE,FALSE,,0.5 minutes,0.5,4WD - High Clearance,TRUE
9410,Box Canyon (Dinosaur),,Dinosaur National Monument,0,3B III (<i>v3a2 III</i>),3B III,,,,,,,"May-Jun, Sep-Oct",FALSE,FALSE,FALSE,FALSE,,,,4WD - High Clearance,TRUE
82024,Miller Lite Creek,"40° 18' 56.52"" N, 108° 43' 16.32"" W",Dinosaur National Monument,0,3B (v3a2 II),3B,,,5.1,2,,,"May-Jun, Sep-Oct",FALSE,FALSE,FALSE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
