pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
61933,East Fork Fat Man's Misery,"37° 12' 31.32"" N, 112° 51' 7.92"" W",Zion East Side,3.5,3B IV (<i>v3a2 IV</i>),3B IV,,,11.0,2,40 ft,40,"Spring, Fall, Avoid summer (exposed hiking)",True,True,True,False,,0 minutes,0.0,Passenger,False
362,Red Caves,"37° 13' 28.92"" N, 112° 38' 51.36"" W",Mt Carmel,3.5,2B II (v2a2 II),2B II,3.5,8.0,7.1,4,36 ft,36,Any;HOT in Summer,True,True,True,True,hot in summer,0 minutes,0.0,Passenger,False
589,Diana's Throne Canyon,"37° 11' 40.20"" N, 112° 39' 0.72"" W",Mt Carmel,3.3,3A I (v2a1 I),3A I,1.5,5.0,2.7,9,80 ft,80,Any; hot in summer,True,True,True,True,hot in summer,,,Passenger,False
369,Telephone Canyon,"37° 17' 36.24"" N, 112° 58' 5.16"" W",Zion Main Canyon,3.4,3A III (<i>v3a1 III</i>),3A III,5.0,11.0,9.6,12,155 ft,155,Early Spring to Late Autumn;BEST in May;Jun;Jul;Oct,True,False,True,False,,0 minutes,0.0,Passenger,False
359,Not Imlay Canyon,"37° 18' 1.44"" N, 112° 57' 3.60"" W",Zion Main Canyon,3.4,4A III (<i>v4a1 III</i>),4A III,7.0,12.0,6.9,7,300 ft,300,,,,,,,0 minutes,0.0,Passenger,False
1089,Johnson Arch Canyon,"37° 10' 57.72"" N, 113° 37' 49.80"" W",St. George,3.4,3B II (<i>v3a2 II</i>),3B II,3.0,5.0,,6,190 ft,190,September to March,False,False,False,False,,,,Passenger,False
339,Bulloch Gulch (Salamander Fork),"37° 20' 4.56"" N, 112° 55' 7.68"" W",Zion East Side,3.7,4B IV (<i>v4a2 IV</i>),4B IV,10.0,12.0,11.6,8,170 ft,170,,,,,,,,,Passenger,False
242,Yankee Doodle Hollow,"37° 14' 9.96"" N, 113° 27' 10.08"" W",St. George,3.1,3B I (<i>v3a2 I</i>),3B I,1.0,4.0,1.0,5,73 ft,73,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,Passenger,False
1088,Hammerhead,"37° 19' 25.32"" N, 113° 0' 4.32"" W",Zion West Side,3.3,3B V (<i>v3a2 V</i>),3B V,48.0,72.0,,6,165 ft,165,June - Sep,False,False,False,False,,1 minutes,1.0,,False
82637,Fiddle Me This,"37° 16' 13.44"" N, 112° 54' 40.32"" W",Zion East Side,3.3,4B III (<i>v4a2 III</i>),4B III,,,4.3,11,200 ft,200,"Fall, Spring, early Summer",True,True,True,False,,0 minutes,0.0,Passenger,False
1098,Poverty Wash,"37° 11' 2.04"" N, 112° 50' 27.96"" W",Zion East Side,3.4,,,,,,,,,,,,,,,,,,False
361,Pipe Spring Canyon,"37° 22' 44.04"" N, 112° 59' 22.92"" W",Zion West Side,3.1,3A III (<i>v3a1 III</i>),3A III,6.0,9.0,4.9,9,180 ft,180,,,,,,,0 minutes,0.0,Passenger,False
349,Icebox Canyon (Zion National Park),"37° 26' 49.56"" N, 113° 9' 47.88"" W",Kolob Area,3.1,3B IV (<i>v3a2 IV</i>),3B IV,8.0,15.0,13.0,9,165 ft,165,Late spring; summer; fall,True,True,True,False,,0 minutes,0.0,Passenger,False
84663,Pictograph Canyon,"37° 12' 15.84"" N, 113° 39' 26.28"" W",St. George,3.0,3A II (<i>v3a1 II</i>),3A II,,,,8,140 ft,140,Oct-April,False,False,False,False,,0.5 minutes,0.5,Passenger,False
87214,The Hunted Canyon,"37° 11' 40.56"" N, 112° 38' 58.20"" W",Mt Carmel,3.0,3A I (v2a1 I),3A I,1.0,2.0,,5,40 ft,40,Avoid summer,False,True,False,False,,0 minutes,0.0,,False
1103,Snake Alley and Sidewinder,"37° 18' 28.08"" N, 113° 6' 36.36"" W",Zion West Side,3.1,3A I (<i>v3a1 I</i>),3A I,,,,5,,,,,,,,,0 minutes,0.0,,False
7437,Mayday Canyon,"36° 54' 8.28"" N, 113° 50' 11.04"" W",Virgin River Gorge,3.0,3A IV (<i>v3a1 IV</i>),3A IV,7.0,10.0,3.7,10,110 ft,110,Oct-Apr,False,False,False,False,,0 minutes,0.0,Passenger,False
19772,Red Canyon (Peek-a-Boo Canyon),"37° 10' 49.08"" N, 112° 33' 46.80"" W",Mt Carmel,3.0,1A I (<i>v1a1 I</i>),1A I,,,,,0 ft,0,,,,,,,,,,False
370,Walker Gulch,"37° 19' 58.08"" N, 112° 52' 51.60"" W",Zion East Side,3.3,3A III (<i>v3a1 III</i>),3A III,,,6.2,4,150 ft,150,Spring to Autum,True,False,False,False,,0 minutes,0.0,4WD - High Clearance,True
61929,French Canyon,"37° 10' 13.80"" N, 112° 50' 45.96"" W",Zion East Side,3.0,2A II (<i>v1a1 II</i>),2A II,,,1.2,,0 ft,0,April-October,False,False,False,False,,0 minutes,0.0,4WD - High Clearance,True
355,Lodge Canyon,"37° 14' 3.12"" N, 112° 56' 53.88"" W",Zion East Side,2.7,4A IV R (<i>v5a1 IV</i>),4A IV R,5.0,13.0,4.6,6,200 ft,200,,,,,,,1 minutes,1.0,Passenger,False
26324,Too Wet,"37° 30' 27.72"" N, 113° 6' 51.48"" W",Kolob Area,3.3,3C (<i>v3a4</i>),3C,,,,,,,,,,,,,,,,False
25356,Mineral Gulch,"37° 11' 48.48"" N, 112° 47' 39.84"" W",Zion East Side,3.0,1A (<i>v1a1</i>),1A,,,,,0 ft,0,,,,,,,,,,False
342,Deadeye Dick Canyon,"37° 21' 55.08"" N, 112° 53' 37.32"" W",Zion East Side,2.7,3A II (<i>v3a1 II</i>),3A II,4.0,8.0,9.5,6,99 ft,99,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,High Clearance,True
240,Boltergeist Canyon,"37° 14' 58.92"" N, 113° 25' 49.08"" W",St. George,2.4,3A I (<i>v3a1 I</i>),3A I,1.5,3.0,1.1,6,150 ft,150,Any,True,True,True,True,,0 minutes,0.0,Passenger,False
1109,Taylor Creek (South Fork),"37° 27' 6.12"" N, 113° 9' 54.72"" W",Kolob Area,3.0,1A II (<i>v1a1 II</i>),1A II,2.0,,3.2,,0 ft,0,Any,True,True,True,True,,,,,False
1095,Oak Creek (North Fork),"37° 24' 43.20"" N, 112° 59' 51.72"" W",Zion West Side,4.3,,,,,,,,,,,,,,,,,,False
603,Rock Canyon,"37° 9' 23.40"" N, 112° 49' 36.48"" W",Zion East Side,2.3,3A III (<i>v3a1 III</i>),3A III,5.0,8.0,,5,110 ft,110,oct-apr,False,False,False,False,,0 minutes,0.0,4WD - High Clearance,True
25353,Bitter Creek,"37° 14' 7.80"" N, 113° 29' 16.80"" W",St. George,2.6,2A I (<i>v1a1 I</i>),2A I,,,,2,25 ft,25,Oct-April,False,False,False,False,,0.5 minutes,0.5,,False
598,Hidden Canyon (End),"37° 16' 4.08"" N, 112° 56' 17.52"" W",Zion Main Canyon,2.5,4A II (<i>v4a1 II</i>),4A II,4.0,6.0,,,450 ft,450,,,,,,,,,,False
19315,Ghost Rider Canyon,"36° 58' 26.04"" N, 113° 47' 55.32"" W",Virgin River Gorge,2.4,3A I (v3a1 I),3A I,1.0,2.0,1.0,3,80 ft,80,Oct-Apr,False,False,False,False,,0 minutes,0.0,Passenger,False
