pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
953,Repeat Jr,"38° 47' 59.64"" N, 109° 25' 28.92"" W",Yellow Cat Mesa,2.4,3A I (<i>v3a1 I</i>),3A I,1.0,2.0,,1,197 ft,197,"Fall, Winter, Spring",True,False,True,True,,,,High Clearance,True
502,Cameltoe Canyon,"38° 35' 43.80"" N, 109° 37' 36.84"" W",Potash Road,2.3,3B II (<i>v3a2 II</i>),3B II,3.0,5.0,,3,50 ft,50,"Fall, Summer, Spring",True,True,True,False,,0 minutes,0.0,Passenger,False
74609,Mel Slot (Tombstone),"38° 15' 12.60"" N, 109° 20' 42.72"" W",Moab,3.5,3A II (<i>v3a1 II</i>),3A II,,,4.3,3,130 ft,130,"Spring, Fall",True,False,True,False,,0 minutes,0.0,High Clearance,True
1120,Covert Arch,"38° 47' 51.00"" N, 109° 26' 6.00"" W",Yellow Cat Mesa,3.3,2A II (<i>v1a1 II</i>),2A II,1.0,2.0,,,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,,,,False
43424,Lockjaw Canyon,"38° 35' 49.92"" N, 109° 40' 14.16"" W",Moab,2.0,3A III (<i>v3a1 III</i>),3A III,3.0,5.0,,2,80 ft,80,Any;HOT in Summer,True,True,True,True,hot in summer,0 minutes,0.0,4WD - High Clearance,True
34290,Elephant Canyon,"38° 11' 42.72"" N, 109° 50' 51.36"" W",Canyonlands National Park,2.5,3A IV (<i>v3a1 IV</i>),3A IV,,,9.0,4,80 ft,80,Late Winter or Fall. The area is closed from May 1 to September 1. March or April might be difficult since you have to hike along the river.,False,False,True,True,,0 minutes,0.0,Passenger,False
42963,Marble Canyon (disambiguation),"38° 59' 59.64"" N, 109° 7' 54.84"" W",Castle Valley,3.7,3B I (v4a2 III),3B I,,,,7,180 ft,180,"Spring, Summer, Fall",True,True,True,False,,120 minutes,120.0,Passenger,False
30753,Faux Falls,"38° 28' 51.96"" N, 109° 24' 41.76"" W",Spanish Valley,2.3,3C II (<i>v3a4 II</i>),3C II,1.0,3.0,0.5,2,75 ft,75,May-Jun,False,False,False,False,,0 minutes,0.0,Passenger,False
43755,Eye of the Whale,"38° 42' 55.08"" N, 109° 36' 6.12"" W",Arches National Park,2.6,2A I (<i>v1a1 I</i>),2A I,,,,,0 ft,0,,,,,,,,,,False
43426,Mastodon Canyon,"38° 32' 51.36"" N, 109° 35' 12.84"" W",Kane Creek Road,2.0,2A I (<i>v1a1 I</i>),2A I,,,,,0 ft,0,,,,,,,,,,False
43423,Longbow Arch,"38° 31' 58.08"" N, 109° 36' 31.68"" W",Potash Road,3.0,POI 2A II (<i>v1a1 II</i>),POI 2A II,2.0,3.0,1.2,,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,,,,False
81177,Elephant BUTT,"38° 41' 41.28"" N, 109° 32' 28.32"" W",Arches National Park,4.0,3A III (<i>v3a1 III</i>),3A III,,,,3,280 ft,280,,,,,,,,,,False
25672,Holeman Slot,"38° 23' 41.28"" N, 109° 57' 36.72"" W",Canyonlands National Park,2.0,4B II (<i>v4a2 II</i>),4B II,,,,1,90 ft,90,,,,,,,0 minutes,0.0,4WD - High Clearance,True
1121,Funnel Arch,"38° 31' 19.20"" N, 109° 35' 53.52"" W",Kane Creek Road,2.0,3A II (<i>v3a1 II</i>),3A II,,,,3,90 ft,90,Spring and Fall,True,False,True,False,,0 minutes,0.0,Passenger,False
34294,Thompson Canyon,"39° 3' 7.92"" N, 109° 43' 17.04"" W",Moab,3.0,,,,,,,,,Spring;Summer;Fall;Winter,True,True,True,True,,,,,False
18718,Moab Wind Caves,"38° 27' 2.88"" N, 109° 39' 55.08"" W",Kane Creek Road,2.0,Cave 2A I (<i>v1a1 I</i>),Cave 2A I,,,,,0 ft,0,,,,,,,,,,False
91370,Stooge Pen,"38° 37' 49.44"" N, 109° 36' 26.28"" W",Arches National Park,2.0,,,,,,,,,,,,,,,,,,False
43425,Cut Canyon (Upper),"38° 32' 36.96"" N, 109° 35' 15.36"" W",Kane Creek Road,1.0,2A II (<i>v1a1 II</i>),2A II,,,,,0 ft,0,,,,,,,,,,False
91109,Boris Canyon,"38° 47' 39.48"" N, 109° 7' 6.24"" W",Moab,0.0,,,,,,,,,,,,,,,,,,False
92246,Fat Juni,"38° 38' 1.68"" N, 109° 40' 16.32"" W",Gemini Bridges,0.0,3A (<i>v3a1</i>),3A,,,,,,,,,,,,,,,,False
91112,Jumping Juniper,"38° 47' 33.36"" N, 109° 8' 36.96"" W",Moab,0.0,,,,,,,,,,,,,,,,,,False
99920,Lost Trekker,"39° 0' 37.08"" N, 109° 54' 2.88"" W",Moab,0.0,,,,,,,,,,,,,,,,,,False
91110,Lusi Canyon,"38° 47' 8.16"" N, 109° 5' 30.12"" W",Moab,0.0,,,,,,,,,,,,,,,,,,False
18717,Ruby's Ladder and Tramway,"38° 38' 17.16"" N, 109° 46' 16.32"" W",Moab,0.0,POI,POI,,,,,,,,,,,,,,,,False
91111,Sage Canyon,"38° 45' 37.08"" N, 109° 6' 41.40"" W",Moab,0.0,,,,,,,,,,,,,,,,,,False
34293,Sagers Canyon,"39° 1' 1.92"" N, 109° 37' 22.08"" W",Moab,0.0,,,,,,,,,Spring;Summer;Fall;Winter,True,True,True,True,,,,,False
1127,Sevenmile Canyon,,Arches National Park,0.0,2A II (<i>v1a1 II</i>),2A II,,,,,0 ft,0,,,,,,,,,,False
1129,Snake In Mouth,,Arches National Park,0.0,2A I (<i>v1a1 I</i>),2A I,,,,,0 ft,0,,,,,,,,,,False
46156,Sunseed,"38° 32' 34.44"" N, 109° 35' 31.92"" W",Kane Creek Road,0.0,POI,POI,,,,,,,,,,,,,,,,False
43754,Tower Arch,"38° 47' 33.00"" N, 109° 40' 31.08"" W",Arches National Park,0.0,2A II (<i>v1a1 II</i>),2A II,,,,,0 ft,0,,,,,,,,,,False
